id,pos_id,word,ja
0,3,aback,後ろに
1,0,abandonment,放棄
2,1,abate,の勢いを減らす. 和らげる. やわらぐ. おさまる
3,0,abbot,修道院長
4,0,abdication,退位. （権利などの）放棄
5,0,abdomen,腹部. 腹
6,0,aberration,狂い. 脱線（行為）. 異常. 精神異常. （光の）収差
7,1,abet,扇動. 扇動する. （悪事）をけしかける. 教唆する
8,1,abhor,ひどく嫌う. ぞっとするほど嫌う. 拒否する
9,2,abject,無気力の. 悲惨な. 情けない. 卑屈な
10,3,abnormally,異常に 
11,0,abolition,廃止. 全廃
12,0,abolitionist,廃止論者
13,0,abomination,嫌悪. 憎悪
14,1,abort,流産する. 頓挫する. むだに終わる
15,2,abortive,失敗に終わった. 失敗に終わる. 実を結ばない. むなしい
16,2,abrasive,すり減らす. 研磨剤. 研磨の. 不快な
17,3,abreast,並んで. 並行して
18,0,absentee,欠席者. 不在者
19,1,abstain,慎む. 控える. 絶つ. やめる. 禁酒する
20,2,abstracted,ぼんやりした
21,3,absurdly,不条理に. ばかげて
22,3,abundantly,豊富に
23,3,academically,学究的に 
24,1,accede,同意する. （職など）に就く. 加盟する. 後を継ぐ
25,1,accentuate,目立たせる. を強調する
26,0,acceptability,受容性
27,2,accepted,一般に認められた 
28,0,acclimation,順化 
29,0,accolade,絶賛. 栄誉. ナイト爵位授与の儀式
30,0,accompaniment,伴うもの. 随伴物
31,0,accomplice,共犯者
32,0,accordion,アコーディオン
33,0,accreditation,認証評価 
34,2,accredited,正式認可を受けた 
35,0,accused,告発された. 被告
36,2,acetic,酸っぱい. 酢の
37,2,achievable,達成可能な 
38,0,acidity,酸性度. 酸味
39,0,acidosis,（医）酸血症. 酸性症. 酸性血症. 酸中毒. アシドーシス. 酸毒症
40,0,acrobat,アクロバット
41,2,activated,活性化した 
42,2,actuarial,保険計理（士）の. （もと法廷の）記録係（書記）の
43,0,actuary,保険数理士 
44,0,acumen,鋭さ. 眼識. 明敏. 鋭い洞察力
45,3,acutely,鋭く. 鋭敏に. 激しく
46,0,adage,ことわざ. 格言. 古諺. 諺
47,2,adaptable,適合性のある. 融通のきく. 適応できる. 柔軟
48,0,addendum,追加したもの. 補遺. 付録
49,2,addled,腐った 
50,0,adduct,付加物 
51,0,adenine,"アデニン. 核酸を構成する5種の主要塩基の一つ. シアン化水素とアンモニアを混合し加熱するだけで合成されるため,原始の地球でもありふれた有機物だったと考えられる"
52,0,adequacy,妥当性
53,2,adipose,（動物性）脂肪
54,1,adjourn,休止する. 延期する
55,0,adjudication,判決. 裁決
56,0,adjunct,付属物. 添加物. 修飾（付加）語句
57,3,admirably,りっぱに
58,0,admonition,警告. 説諭. 訓戒. 勧告. 忠告
59,2,adoptive,採用の
60,0,adoration,敬愛. あこがれ. 礼拝
61,0,adrenaline,アドレナリン. 刺激剤. 神経伝達物質またはホルモンとして働く
62,3,adrift,漂流して. 漂って. さまよって. 目標を失って
63,0,adsorption,吸着. 吸着量
64,0,adulterer,不義者. 浮気者
65,2,adulterous,偽の. 姦通の. 不義を犯す. 不純な. 浮気症の
66,0,adventurer,冒険家
67,0,adversity,不幸. 逆境. 困窮. 不幸なできごと. 災難
68,2,aeronautical,航空の 
69,0,aesthetics,美学. 審美学. 美観
70,3,afar,遠く（farの方が一般的）
71,2,affected,気取った
72,2,affectionate,愛情深い
73,3,affectionately,愛情をこめて
74,0,affirmation,断言. 断定
75,1,affix,添付する. 貼る. 捺す. 加える. 添加物. 接辞
76,2,affixed,貼り付けられた 
77,0,affliction,苦悩. 不幸. 悲嘆. 苦痛
78,1,affront,侮辱する. 直面する. に敢然と立ち向かう. 侮辱
79,3,afield,家を離れて. 戦場に（へ）. 常軌を離れて
80,2,afloat,に浮かんで. 海上に. 浸水して. （うわさなどが）流布して. 借金しないで. 破産しないで
81,3,afoot,徒歩で. 進行中で. 起こって. 計画中で
82,2,afoul,からまって. 衝突して
83,0,afterlife,晩年. 来世
84,0,aftershock,余震
85,0,afterthought,あと知恵. あとからの思いつき. 結果論
86,2,aggravating,一層悪化させる. 困った. 癪に障る. 腹が立つ
87,2,aggregated,集約された 
88,0,aggressor,侵略者
89,2,aghast,びっくりした. びっくりして
90,0,agility,機敏さ
91,0,agnostic,不可知論の. 独断的な意見にとらわれない. 寛容な
92,2,agonizing,苦しみもだえる. ひどく苦しめる
93,2,agreeable,好ましい. 矛盾のない
94,0,airfare,航空運賃
95,0,airfield,飛行場
96,0,airing,空気で乾かすこと. 外出. 散歩
97,0,airman,パイロット. 飛行士（家）. 空軍要員（兵）
98,0,airwave,放送電波 
99,0,alabaster,雪花石膏. 白くなめらかな
100,3,alarmingly,驚くほどに 
101,0,alarmist,心配症の人. 人騒がせな人
102,0,albino,"白子, 先天性色素欠乏症"
103,0,alchemy,錬金術
104,0,aldehyde,アルデヒド. カルボニル炭素に水素原子が一つ置換した構造を持つ有機化合物. 一般式はR-CHOで表される
105,0,algae,藻（類）
106,2,algorithmic,アルゴリズムの. 演算方法（方式）の. 算法の
107,0,alibi,現場不在証明. アリバイ
108,0,alienation,疎遠. 疎外. 遊離. 疎隔. 譲渡. 遠ざけること
109,1,allay,（興奮など）を静める. calm. 和らげる. 軽くする. 減らす
110,0,allegory,"寓意. 物語. 寓意物語. 風喩. 象徴（ex. 狐=狡猾,天秤=公正,白色=純潔のように人が持つイメージで表すこと）"
111,2,allied,同盟した
112,2,allotted,割り当て 
113,0,alloy,合金. 合金に用いる安価な金属. まぜ物. 品位. 純度
114,2,alluring,魅惑的な
115,0,almanac,年鑑. 暦
116,2,almighty,全能の
117,0,alms,施し物. 信施. 施し. 慈善
118,2,aloof,離れて. 遠く離れて. 遠ざかって. 風上の方に
119,2,alphabetical,アルファベットの
120,3,alphabetically,アルファベット順に. ABC順に
121,2,altered,変更された 
122,0,altruism,"利他主義. 博愛主義. （類）philanthropy（博愛主義,慈善）. （反）misanthropy（人間嫌い. 厭世. 人間不信）"
123,2,altruistic,利他的な. 愛他的な
124,0,amalgam,アマルガム（水銀と他の金属との合金）. 合成物. 混合物
125,0,amazement,おどろき
126,0,ambience,環境. 雰囲気
127,1,ameliorate,改良する. 改善する
128,2,amenable,素直な. 従順な. 従う義務のある. 影響をうけやすい
129,2,amiable,人当たりのよい. 愛想のよい. 気だてのよい. 素直な
130,0,ammo,弾薬（=ammunition）
131,0,amnesia,記憶喪失（者）. 記憶喪失者. 健忘症
132,2,amniotic,羊膜の 
133,0,amoeba,アメーバ（複. amoebae amoebas）
134,3,amok,荒れ狂った. 殺気立った. 怒り狂った
135,3,amusingly,面白おかしく 
136,0,anachronism,時代錯誤. 時代遅れのもの･人. 時代遅れ. 過去の遺物
137,2,anachronistic,時代錯誤の
138,2,anaerobic,"anaerobic（bacteria, digestion, mud, fermentation, decomposition） 嫌気性（菌,消化,泥,はっ酵,分解）"
139,0,anagram,アナグラム（単語または文中の文字をいくつか入れ替えて全く別の意味にさせる遊び） cf. palindrome（回文）
140,2,anal,（éɪnl）. 肛門の. （cf. annul. （ənˈʌl）. 取り消す. 廃棄する. 溶ける. 液状化する）
141,0,analgesia,痛覚欠如. 鎮痛
142,1,analyse,分析する
143,0,analyzer,アナライザー
144,0,anaphylaxis,アナフィラキシーショック. ヒトや哺乳類の急性･重度過敏症のアレルギー反応. 僅かなアレルゲンが生死に関わる反応を起こすことがある
145,0,anarchist,無政府主義者
146,0,anarchy,無政府. 無政府状態. 無秩序. 乱世
147,0,anathema,呪い. 大嫌いなもの. 教会の呪い. 破門
148,2,ancillary,補助的な. 副の
149,2,anemic,無気力の
150,0,anesthesiologist,麻酔医
151,2,anesthetic,麻酔剤. 麻酔の. 感覚が麻痺した. 無感覚な. 鈍感な. （cf麻酔 anesthesia）
152,3,anew,再び. 新規に
153,0,angina,狭心症
154,0,angioplasty,血管形成術 
155,0,angler,（特に趣味で）魚を釣る人. 釣り師. 太公望
156,3,angrily,怒って
157,0,anguish,悲痛. 苦悩. 苦痛. 苦悶. に苦悩を与える
158,2,anguished,苦悩に満ちた
159,2,angular,やせこけた
160,0,animator,生気を与えるもの. アニメ製作者（画家）
161,0,animosity,敵意. 憎悪. 憎しみ. 恨み
162,0,annals,年代記. 記録. （cf. biography. chronicle. momoir. annals）
163,1,annex,別館. 付録. 付加物. 付加する. 併合する
164,0,annexation,付加（物）. 併合（領土）
